time,MCrun,prate,air
0,0,-6.747424523686422e-07,-0.2562221504386054
0,1,1.2182580151478328e-07,-0.055526840896170104
0,2,-9.168056812043404e-07,-0.4868459646704269
0,3,-5.755890155675462e-07,-0.1014628214551576
0,4,2.0609883930761526e-07,-0.07096383102264286
0,5,1.6967957244256625e-07,-0.11377303432338685
0,6,-3.212235277743354e-07,-0.37457464810257846
0,7,7.785196426771993e-08,-0.040789263817820366
0,8,2.7960514199946844e-07,-0.006151168195013863
0,9,5.627783708575724e-07,-0.31479145036135037
0,10,1.2134466704806718e-07,-0.10557705044308162
0,11,-9.636958087763845e-07,-0.17053908658660433
0,12,6.568191187378969e-07,-0.11941171804641451
0,13,5.977479136371175e-07,-0.169360049371382
0,14,-2.030883328368039e-07,0.00672123743474039
0,15,-5.893598490848688e-07,-0.3871165052209001
0,16,-1.4389751108795211e-06,-0.016256477963860733
0,17,-1.4325555533451044e-06,-0.1311702692653083
0,18,-6.739927519097348e-07,-0.20266755548017912
0,19,-7.727064967259646e-07,-0.07895413105738691
1,0,-7.123479994105003e-08,-0.2909416059824994
1,1,2.4658423240257446e-07,-0.1493182059153342
1,2,-6.33179257085905e-07,-0.36056561425592326
1,3,-4.74373171813108e-07,-0.14421928149332458
1,4,4.772119475272914e-07,-0.09559134674447722
1,5,5.844030673467411e-07,-0.08990246865419063
1,6,2.4330801289474357e-08,-0.3256424956521896
1,7,2.2193552914529963e-07,-0.14445450070800736
1,8,5.776712049015581e-08,-0.037553632890491864
1,9,1.7474228691014066e-07,-0.3365632851557745
1,10,5.363523217385968e-08,-0.10936184314841882
1,11,-8.412403178734874e-07,-0.14815447402949838
1,12,8.767451836262393e-07,-0.11400645458118494
1,13,1.1288466768146945e-06,-0.24720894688192455
1,14,-2.4968341101069827e-07,-0.01173942620181918
1,15,-5.635945908925104e-07,-0.3419647101358967
1,16,-1.419361784586057e-06,-0.03461273893770338
1,17,-1.1967550499911728e-06,-0.16527820308948565
1,18,1.3340075621720943e-07,-0.19690132322031928
1,19,-7.257489254501165e-07,-0.16903923912913954
2,0,-2.183208680640635e-08,-0.21630839145725306
2,1,-7.696040199861994e-08,-0.3787297712539047
2,2,-3.3223530261187936e-07,-0.6303654608278514
2,3,-6.583685315049959e-07,-0.2691203369567257
2,4,-6.074025737892359e-07,-0.4159635542605432
2,5,2.481974146509986e-07,-0.33273541930963657
2,6,3.089315930238448e-07,-0.5991110526525144
2,7,-1.9227124072003622e-07,-0.4209191539954491
2,8,-1.3487096836465582e-07,-0.2278278911276823
2,9,-2.8821902162205387e-07,-0.32422363768567053
2,10,-5.43595397890692e-08,-0.08448247989829813
2,11,-7.346333900501856e-07,-0.11008808817872673
2,12,8.037107953360888e-07,-0.43797868674201546
2,13,1.1984909346306533e-06,-0.5230703142483724
2,14,-1.009054302998559e-07,-0.21195054455458112
2,15,-7.142262666412841e-07,-0.6113382948095113
2,16,-2.024279223869909e-06,-0.2473536852639021
2,17,-1.2128643310625692e-06,-0.3806762152447073
2,18,-4.887456781132347e-07,-0.13641356533031818
2,19,-6.180315143466063e-07,-0.513601136233462
3,0,4.978380515995669e-07,-0.20230393895849846
3,1,-6.504469708697649e-08,-0.5523068231108472
3,2,8.862818417963787e-08,-0.7359652168127502
3,3,-4.3253980637897987e-07,-0.40086529186475506
3,4,-7.688497651624086e-07,-0.5493224342862769
3,5,6.413658082033944e-07,-0.47120796474111704
3,6,5.675907679946587e-07,-0.7028372042764244
3,7,-1.101256802931648e-07,-0.5422038779251355
3,8,1.0338639151080429e-07,-0.3633934909719223
3,9,-8.500112062876343e-08,-0.30114065283288705
3,10,-6.794850591694787e-08,-0.11418696239383158
3,11,-6.913681186981217e-07,-0.11813233281749663
3,12,1.147137551972832e-06,-0.5185444919428168
3,13,1.686360460224267e-06,-0.6134452837350184
3,14,-2.1487410222484087e-08,-0.331574646201683
3,15,-5.963832740154189e-08,-0.7447894175352543
3,16,-1.6630576633850098e-06,-0.3417376655858412
3,17,-1.2525375828759617e-06,-0.47903272570348465
3,18,1.5789895342828984e-07,-0.14163993836845068
3,19,-2.0283942292491133e-07,-0.6072426628999211
4,0,5.826955776245977e-07,-0.1525940417355417
4,1,4.658461792571364e-07,-0.3416328005720123
4,2,2.3760445409216472e-07,-0.36871210125995646
4,3,-6.444824101655482e-07,-0.17198961499524829
4,4,-2.759331520736625e-07,-0.3537778558815369
4,5,6.50342136702439e-07,-0.1943843323277366
4,6,8.764499676193161e-07,-0.46427943128140536
4,7,-1.6227208431258668e-07,-0.37501994336859135
4,8,2.908925413451116e-08,-0.1632022187038526
4,9,-4.107786081397173e-07,-0.28007033706425544
4,10,-3.617143861077301e-07,-0.0678674316102333
4,11,-5.008959411734111e-07,-0.05733416198080256
4,12,8.403696908474289e-07,-0.3000087321348246
4,13,1.849156713128167e-06,-0.38533426646852936
4,14,-2.6999059518843406e-07,-0.1214954641438154
4,15,-4.123273209566349e-07,-0.43231052326733677
4,16,-1.4805107682893885e-06,-0.2095011340718832
4,17,-7.423405293064537e-07,-0.30538197534028466
4,18,3.959387599026085e-07,-0.037369214061215794
4,19,-2.851425609204515e-07,-0.4259212868997272
5,0,5.927905668046113e-08,-0.254336946155612
5,1,5.150066982937849e-07,-0.23338423253965132
5,2,-5.61269290669828e-07,-0.3295155838448597
5,3,-6.383800253341548e-07,-0.15798189045455813
5,4,4.078912023373874e-07,-0.1722379034163276
5,5,8.372872527837479e-07,-0.08180186441092896
5,6,5.482460984610663e-07,-0.3719710669083309
5,7,2.815556305535119e-07,-0.1596300089569634
5,8,4.2571604835429354e-07,-0.08690892647369522
5,9,7.179675565448868e-08,-0.3460496600218375
5,10,-1.907541773185891e-07,-0.12716650206222715
5,11,-4.826378611590015e-07,-0.16963423949460626
5,12,1.5275246004879758e-06,-0.13811058153997913
5,13,1.4759793256822395e-06,-0.2784052580887968
5,14,-3.913744943264615e-07,-0.045221705518762756
5,15,-4.6365438757629346e-07,-0.39241672019641677
5,16,-1.1549073884016243e-06,-0.08831413844011439
5,17,-1.011008014302023e-06,-0.18455208280322724
5,18,2.559247998848791e-07,-0.2182034027636206
5,19,-4.864139346837705e-07,-0.20297423133570275
6,0,1.3357733677038812e-07,-0.28448452996071133
6,1,5.431918434094709e-07,-0.09667657976453337
6,2,-6.95240109088605e-07,-0.2336928078712125
6,3,-7.519240574654933e-07,-0.05255638669345968
6,4,1.8548731012933154e-07,0.012130406091084383
6,5,5.45370669956916e-07,0.08463161719629689
6,6,7.257507463242905e-07,-0.17164462550607884
6,7,3.48443825284903e-07,-0.12566837094253328
6,8,1.373787381007864e-07,0.07340891809099839
6,9,8.543108620610158e-08,-0.35711668928139917
6,10,-2.816744136577933e-07,-0.14519649102390814
6,11,-1.0195659238585787e-06,-0.14453707852090286
6,12,9.224682949922849e-07,0.014077225068101508
6,13,1.5996058992626012e-06,-0.09918678103563988
6,14,-8.413026799212203e-07,0.10111086095246899
6,15,-1.1790761175319832e-06,-0.23663395572354715
6,16,-1.6389632067200424e-06,0.033917756263411036
6,17,-1.4842638634043075e-06,-0.10717859983565145
6,18,-3.136782745482254e-07,-0.19728743084209027
6,19,-1.2209233157567297e-06,-0.11999672066097901
7,0,-2.8186547113438946e-07,-0.2518880696616501
7,1,3.569741376586733e-07,0.0678609000676405
7,2,-1.3553111331857927e-06,-0.05289497479324742
7,3,-8.663303540671883e-07,0.0982885178369812
7,4,1.6978077966183462e-07,0.1980089404144869
7,5,5.146941478156202e-07,0.21847921939981652
7,6,2.1793993920673887e-07,-0.01851258498228979
7,7,-2.465032067844075e-07,0.1432329381448456
7,8,-1.1883969081261219e-07,0.1964934231959793
7,9,8.52561415598438e-08,-0.25345210013225716
7,10,-2.0789144713764092e-07,-0.04626427728635358
7,11,-1.1863043397749565e-06,-0.13614378815636072
7,12,5.958105073984825e-07,0.16949327698250916
7,13,7.796103909009552e-07,0.1259817164977024
7,14,-1.251340293171233e-06,0.22938643346953788
7,15,-1.2441627041069888e-06,0.020725727153326275
7,16,-1.3775822866995953e-06,0.15655031763293809
7,17,-1.2343384198445294e-06,0.043113573563375
7,18,-8.673388945820107e-07,-0.14357942632970372
7,19,-1.660894985595473e-06,0.08577006806835123
8,0,-2.7861001969314294e-07,-0.23597881246293922
8,1,5.758472188458952e-07,0.24848755930542696
8,2,-5.747237224238792e-07,-0.0336397258193651
8,3,-4.4361589493850867e-07,0.1606547478143774
8,4,6.650237721966677e-07,0.17093459853697285
8,5,-7.422070817892459e-08,0.17087719394819456
8,6,-5.204421418538622e-07,0.014581689685502143
8,7,-1.7658464307929813e-07,0.07380072506715996
8,8,-4.1911172855163425e-07,0.18474124055457405
8,9,1.156323635638024e-07,-0.32464561080981014
8,10,1.5422777889316518e-07,-0.08504179865080269
8,11,-7.867441642987029e-07,-0.06595320137652058
8,12,-7.860188004727455e-07,0.1351729729086419
8,13,1.9304262467361166e-07,0.09466045842354262
8,14,-3.8556423633561963e-07,0.2915292081700455
8,15,-8.050760879327258e-07,0.0174070153673129
8,16,-1.4961195828752752e-06,0.1515333657820298
8,17,-9.793393817194568e-07,0.043950405506269524
8,18,-2.0367470673814818e-07,-0.06793233228057877
8,19,-1.2671494286621081e-06,0.09109891672524682
9,0,-2.9162635453770115e-07,-0.25366242119775406
9,1,5.795837764729307e-07,0.06917549904629514
9,2,-3.2554606863857325e-07,-0.19729719505928692
9,3,-3.05704033853251e-07,0.005629141345243456
9,4,8.486969009485462e-07,-0.027327703498467405
9,5,1.2500936773599144e-07,0.005612435243391544
9,6,-3.968720447520872e-07,-0.21446250627919283
9,7,1.2087476597069057e-07,-0.0683209270133435
9,8,-7.289039700249422e-08,0.025786385688966754
9,9,1.6379959899982143e-07,-0.357740344249831
9,10,1.0097509183020299e-07,-0.08529333784218524
9,11,-4.933994423767898e-07,-0.10285074346524606
9,12,-2.0909347859009243e-07,-0.04317905432015513
9,13,5.228844133494608e-07,-0.1529179989767641
9,14,1.4676006398635273e-07,0.115640367643465
9,15,-4.3868458387512216e-07,-0.20179100211757403
9,16,-1.2676527768141653e-06,0.040910967123864314
9,17,-9.171549831167925e-07,-0.07487693459707857
9,18,3.8812852175475353e-07,-0.11766678768333783
9,19,-5.887199410326807e-07,-0.06905164139428391
10,0,-4.4503978215764323e-07,-0.2913225666955208
10,1,4.176717719377884e-07,0.054893652171874835
10,2,-2.7686638634505606e-07,-0.3538576516470252
10,3,6.008531518036495e-08,-0.09781221608403431
10,4,1.120217388115909e-06,-0.08936284820970913
10,5,1.5825378695176685e-07,-0.15605995379098203
10,6,-1.1121978440719456e-06,-0.3016581366609421
10,7,1.1006773164910092e-07,-0.07602892154449532
10,8,1.6137057005531498e-09,-0.07226025919327848
10,9,5.092337724398298e-07,-0.3712269451000947
10,10,4.974419308370368e-07,-0.10506545941368758
10,11,-2.660214553149965e-07,-0.1301758869428759
10,12,-3.847639168708542e-07,-0.11705278984409517
10,13,6.289987892544019e-08,-0.2534274349022968
10,14,6.44152980096906e-07,0.034801606061086864
10,15,1.417672552686767e-07,-0.3308608114205879
10,16,-1.1423145369286012e-06,0.013993377919369956
10,17,-9.6131798100305e-07,-0.13035003729867448
10,18,7.486641796339238e-07,-0.18407999125839014
10,19,-2.4980969699935016e-07,-0.06714934154389658
11,0,-2.4168902706312895e-07,-0.21098030071061086
11,1,3.29469832788254e-09,-0.0034125504124142107
11,2,-7.360538834866434e-07,-0.379082209307277
11,3,6.038826652825335e-09,-0.12183478753395513
11,4,4.622641396722791e-07,-0.09900960715184821
11,5,1.8366878152982946e-07,-0.1659202354979253
11,6,-7.691090482352746e-07,-0.25970330506330863
11,7,-2.2442776436388384e-07,-0.03541060004723963
11,8,1.1492588020035811e-07,-0.08626967990730922
11,9,2.929623972673378e-07,-0.3064768985893468
11,10,6.128712689812092e-07,-0.13561072373338998
11,11,-4.7520515823980793e-07,-0.14379194620170277
