institution,institute_id,experiment_id,source,model_id,forcing,parent_experiment_id,parent_experiment_rip,branch_time,contact,history,comment,initialization_method,physics_version,tracking_id,product,experiment,frequency,creation_date,Conventions,project_id,table_id,title,parent_experiment,modeling_realm,realization,cmor_version,collection,references,acknowledgements,cesm_casename,cesm_repotag,cesm_compset,resolution,forcing_note,processed_by,processing_code_information,gfdl_experiment_name,branch_time_YMDH,CCCma_runid,CCCma_parent_runid,CCCma_data_licence,version_number,notes,mo_runid,nco_openmp_thread_number,CDI,CDO
"Beijing Climate Center(BCC),China Meteorological Administration,China",BCC,past1000,"bcc-csm1-1:atmosphere:  BCC_AGCM2.1 (T42L26); land: BCC_AVIM1.0;ocean: MOM4_L40 (tripolar, 1 lon x (1-1/3) lat, L40);sea ice: SIS (tripolar,1 lon x (1-1/3) lat)",bcc-csm1-1,Nat,N/A,N/A,0.0,Dr. Tongwen Wu (twwu@cma.gov.cn),Output from monthly mean data 2011-11-16T00:41:31Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,"This is the BCC past1000 experiment, covering the period from 850 to 1850A.D.. Used forcings are list as follows: (1) Volcanic Aerosols: 850-2000A.D. monthly, latitudinally, and height dependent stratospheric loading of the Gao-Robock-Ammann data set; (2) Solar irradiance: 850-1849 CE. solar irradiance reconstruction from Vieira, Krivova and Solanki (VK); (3) Trace gases: The evolution of CO2, CH4, N2O over the past 2 millennia table provided by Fortunat Joos; (4) Orbital parameters: The precomputed table supplied by Gavin Schmidt; (5) The values of ozone, aerosols, vegetation, ice sheets, topography and coastlines are the same as in piControl. The experiment is consistent with PMIP3, imposing forcing for 850-1850. Check the PMIP3 website for details about the experimental design https://pmip3.lsce.ipsl.fr/p3_c5_design/",1,1,f884864f-aa98-4ac2-9f3b-e2313ac6a5ff,output,last millennium,mon,2011-11-16T00:41:31Z,CF-1.4,CMIP5,Table Amon (11 April 2011) 1cfdc7322cf2f4a32614826fab42c1ab,bcc-csm1-1 model output prepared for CMIP5 last millennium,N/A,atmos,1,2.5.6,lm,,,,,,,,,,,,,,,,,,,,
"Beijing Climate Center(BCC),China Meteorological Administration,China",BCC,past1000,"bcc-csm1-1:atmosphere:  BCC_AGCM2.1 (T42L26); land: BCC_AVIM1.0;ocean: MOM4_L40 (tripolar, 1 lon x (1-1/3) lat, L40);sea ice: SIS (tripolar,1 lon x (1-1/3) lat)",bcc-csm1-1,Nat Ant,N/A,N/A,0.0,Dr. Tongwen Wu (twwu@cma.gov.cn),Output from monthly mean data 2012-05-16T02:31:42Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,"This is the BCC past1000 experiment, covering the period from 850 to 2000A.D.. Used forcings are list as follows: (1) Volcanic Aerosols: 850-2000A.D. monthly, latitudinally, and height dependent stratospheric loading of the Gao-Robock-Ammann data set; (2) 850-1849A.D. solar irradiance reconstruction from Vieira, Krivova and Solanki (VK), patched into the Wang, Lean and Sheely (WLS) w/background value in 1850; (3) Trace gases: The evolution of CO2, CH4, N2O over the past 2 millennia table provided by Fortunat Joos; (4) Orbital parameters: The precomputed table supplied by Gavin Schmidt; (5) The anthropogenic aerosols forcing is taken into account since 1850A.D. (6) The values of ozone, aerosols, vegetation, ice sheets, topography and coastlines are the same as in piControl. The experiment is consistent with PMIP3, imposing forcing for 850-2000. Check the PMIP3 website for details about the experimental design https://pmip3.lsce.ipsl.fr/p3_c5_design/",1,1,4b4f35a3-6443-446d-86aa-4db812588010,output,last millennium,mon,2012-05-16T02:31:42Z,CF-1.4,CMIP5,Table Amon (11 April 2011) 1cfdc7322cf2f4a32614826fab42c1ab,bcc-csm1-1 model output prepared for CMIP5 last millennium,N/A,atmos,1,2.5.6,lm,,,,,,,,,,,,,,,,,,,,
"CMCC - Centro Euro-Mediterraneo per i Cambiamenti Climatici, Bologna, Italy",CMCC,historical,CMCC-CESM,CMCC-CESM,"Nat,Ant,GHG,SA,Oz,Sl",N/A,N/A,0.0,Marcello Vichi (marcello.vichi@cmcc.it),Model output postprocessed with Afterburner and CDO (https://code.zmaw.de/projects) 2012-08-01T14:25:39Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,"Equilibrium reached after more than 1500-year spin-up of the physics, 200-year spin-up of carbon content and 276 year at pre-industrial GHG concentrations after which data were output with nominal date of January 1850.",1,1,2892fd42-cd54-4232-8aed-129797db2896,output,historical,mon,2012-08-01T14:25:39Z,CF-1.4,CMIP5,Table Amon (27 April 2011) a5a1c518f52ae340313ba0aada03f862,CMCC-CESM model output prepared for CMIP5 historical,N/A,atmos,1,2.7.1,lm,model described in the documentation at http://www.cmcc.it/data-models/models,,,,,,,,,,,,,,,,,,,
"CMCC - Centro Euro-Mediterraneo per i Cambiamenti Climatici, Bologna, Italy",CMCC,historical,CMCC-CMS,CMCC-CMS,"Nat,Ant,GHG,SA,Oz,Sl",N/A,N/A,0.0,Chiara Cagnazzo (chiara.cagnazzo@cmcc.it),Model output postprocessed with Afterburner and CDO (https://code.zmaw.de/projects) 2011-10-18T19:19:42Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,Equilibrium reached after more than 1500-year spin-up at pre-industrial GHG concentrations after which data were output with nominal date of January 1850. The starting point was the same as that of the piControl experiment (r1i1p1).,1,1,a1c702a2-65e1-4167-822b-760ceb60c7a1,output,historical,mon,2011-10-18T19:19:42Z,CF-1.4,CMIP5,Table Amon (27 April 2011) a5a1c518f52ae340313ba0aada03f862,CMCC-CMS model output prepared for CMIP5 historical,N/A,atmos,1,2.7.1,lm,model described in the documentation at http://www.cmcc.it/data-models/models,,,,,,,,,,,,,,,,,,,
"IPSL (Institut Pierre Simon Laplace, Paris, France)",IPSL,past1000,"IPSL-CM5A-LR (2010) : atmos : LMDZ4 (LMDZ4_v5, 96x95x39); ocean : ORCA2 (NEMOV2_3, 2x2L31); seaIce : LIM2 (NEMOV2_3); ocnBgchem : PISCES (NEMOV2_3); land : ORCHIDEE (orchidee_1_9_4_AR5)",IPSL-CM5A-LR,"Nat,Ant,GHG",piControl,r1i1p1,1850.0,ipsl-cmip5 _at_ ipsl.jussieu.fr Data manager : Sebastien Denvil,2012-08-01T22:44:32Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,"This is the last millenium simulation. This simulation was initiated from a preindustrial spinup simulation when equilibrium was reached. Consistent with PMIP requirements, impose evolving",1,1,12ab1b43-3d32-4143-a275-39ff4847545d,output,last millennium,mon,2012-08-01T22:44:32Z,CF-1.4,CMIP5,Table Amon (31 January 2011) 53b766a395ac41696af40aab76a49ae5,IPSL-CM5A-LR model output prepared for CMIP5 last millennium,pre-industrial control,atmos,1,2.7.1,lm,Model documentation and further reference available here : http://icmc.ipsl.fr,,,,,,,,,,,,,,,,,,,
"IAP(Institute of Atmospheric Physics),CAS(Chinese Academy of Sciences),Beijing,China",LASG-IAP,past1000,"FGOALS-gl 2004; atmosphere: GAMIL (gamil1, 72x40L26); ocean: LICOM (licom1, 360x170L30); ice: CSIM (csim4, 360x196); land: CLM (clm2, 72x40)",FGOALS-gl,"GHG, Vl, Sl, SD",N/A,N/A,0.0,Dr. Tianjun Zhou(zhoutj@lasg.iap.ac.cn),2012-02-08T11:33:11Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,1,5ca3ef8f-f968-4eb6-81d9-a7d73a83c7d9,output,last millennium,mon,2012-02-08T11:33:12Z,CF-1.4,CMIP5,Table Amon (12 November 2010) 2065ad6488284c6930d8539adac5e118,FGOALS-gl model output prepared for CMIP5 last millennium,N/A,atmos,1,2.5.1,lm,"ZHOU Tianjun, WU Bo, WEN Xinyu, LI Lijuan, WANG Bin, 2008, A Fast Version of LASG/IAP Climate System Model and Its 1000-year Control Integration, Advances in Atmospheric Sciences, 25(4), 655-672",,,,,,,,,,,,,,,,,,,
"JAMSTEC (Japan Agency for Marine-Earth Science and Technology, Kanagawa, Japan), AORI (Atmosphere and Ocean Research Institute, The University of Tokyo, Chiba, Japan), and NIES (National Institute for Environmental Studies, Ibaraki, Japan)",MIROC,past1000,"MIROC-ESM 2010 atmosphere: MIROC-AGCM (MIROC-AGCM 2010, T42L80); ocean: COCO (COCO3.4, 256x192 L44); sea ice: COCO (COCO3.4); land: MATSIRO (MATSIRO, L6); aerosols: SPRINTARS (SPRINTARS 5.00, T42L80):ocean-biogeochemistry: NPZD ; land-biogeochemistry: SEIB-DGVM (SEIB-DGVM, T42)",MIROC-ESM,GHG LU Sl Vl (including orbital; GHG includes only CH4 and N2O; CO2 is predicted by model),piControl,r1i1p1,91676.0,Michio Kawamiya (kawamiya@jamstec.go.jp) and Toru Nozawa (nozawa@nies.go.jp),2011-12-21T03:26:09Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,1,1950dd85-57f0-45ba-a500-16414227ce53,output,last millennium,mon,2011-12-21T03:26:09Z,CF-1.4,CMIP5,Table Amon (26 July 2011) 976b7fd1d9e1be31dddd28f5dc79b7a1,MIROC-ESM model output prepared for CMIP5 last millennium,pre-industrial control,atmos,1,2.7.1,lm,"Watanabe et al., : MIROC-ESM: model description and basic results of CMIP5-20c3m experiments, Geosci. Model Dev. Discuss., 4, 1063-1128, doi:10.5194/gmdd-4-1063-2011, 2011.",,,,,,,,,,,,,,,,,,,
Max Planck Institute for Meteorology,MPI-M,historical,"MPI-ESM-MR 2011; URL: http://svn.zmaw.de/svn/cosmos/branches/releases/mpi-esm-cmip5/src/mod; atmosphere: ECHAM6 (REV: 4936), T63L47; land: JSBACH (REV: 4936); ocean: MPIOM (REV: 4936), GR15L40; sea ice: 4936; marine bgc: HAMOCC (REV: 4936);",MPI-ESM-MR,"GHG,Oz,SD,Sl,Vl,LU",N/A,N/A,0.0,cmip5-mpi-esm@dkrz.de,"Model raw output postprocessing with modelling environment (IMDI) at DKRZ: URL: http://svn-mad.zmaw.de/svn/mad/Model/IMDI/trunk, REV: 3911 2011-10-08T16:30:02Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.",,1,1,67f7f946-45b3-440c-a624-fd2cf537f0ad,output,historical,mon,2011-10-08T16:30:06Z,CF-1.4,CMIP5,Table Amon (27 April 2011) a5a1c518f52ae340313ba0aada03f862,MPI-ESM-MR model output prepared for CMIP5 historical,N/A,atmos,1,2.6.0,lm,"ECHAM6: n/a; JSBACH: Raddatz et al., 2007. Will the tropical land biosphere dominate the climate-carbon cycle feedback during the twenty first century? Climate Dynamics, 29, 565-574, doi 10.1007/s00382-007-0247-8;  MPIOM: Marsland et al., 2003. The Max-Planck-Institute global ocean/sea ice model with orthogonal curvilinear coordinates. Ocean Modelling, 5, 91-127;  HAMOCC: Technical Documentation, http://www.mpimet.mpg.de/fileadmin/models/MPIOM/HAMOCC5.1_TECHNICAL_REPORT.pdf;",,,,,,,,,,,,,,,,,,,
Max Planck Institute for Meteorology,MPI-M,historical,"MPI-ESM-P 2011; URL: http://svn.zmaw.de/svn/cosmos/branches/releases/mpi-esm-cmip5/src/mod; atmosphere: ECHAM6 (REV: 5051), T63L47; land: JSBACH (REV: 5051); ocean: MPIOM (REV: 5051), GR15L40; sea ice: 5051; marine bgc: HAMOCC (REV: 5051);",MPI-ESM-P,GHG Oz SD Sl Vl LU,past1000,r1i1p1,365242.0,cmip5-mpi-esm@dkrz.de,"Model raw output postprocessing with modelling environment (IMDI) at DKRZ: URL: http://svn-mad.zmaw.de/svn/mad/Model/IMDI/trunk, REV: 4304 2012-02-17T14:56:48Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.",The historical experiments with MPI-ESM-P differ from those based on MPI-ESM-LR in the choice of boundary conditions: orbit (prescribed orbital parameters (PMIP3) instead of calendar-based orbit);land-cover-changes (use of historical land-cover-change maps,1,1,2e69645d-d9ed-4708-a488-4a1ca4e19402,output,historical,mon,2012-02-17T14:56:53Z,CF-1.4,CMIP5,Table Amon (12 January 2012) 95a8ac1233784682d425311ca986756b,MPI-ESM-P model output prepared for CMIP5 historical,last millennium,atmos,1,2.6.0,lm,"ECHAM6: n/a; JSBACH: Raddatz et al., 2007. Will the tropical land biosphere dominate the climate-carbon cycle feedback during the twenty first century? Climate Dynamics, 29, 565-574, doi 10.1007/s00382-007-0247-8;  MPIOM: Marsland et al., 2003. The Max-Planck-Institute global ocean/sea ice model with orthogonal curvilinear coordinates. Ocean Modelling, 5, 91-127;  HAMOCC: Technical Documentation, http://www.mpimet.mpg.de/fileadmin/models/MPIOM/HAMOCC5.1_TECHNICAL_REPORT.pdf;",,,,,,,,,,,,,,,,,,,
Max Planck Institute for Meteorology,MPI-M,past1000,"MPI-ESM-P 2011; URL: http://svn.zmaw.de/svn/cosmos/branches/releases/mpi-esm-cmip5/src/mod; atmosphere: ECHAM6 (REV: 4936), T63L47; land: JSBACH (REV: 4936); ocean: MPIOM (REV: 4936), GR15L40; sea ice: 4936; marine bgc: HAMOCC (REV: 4936);",MPI-ESM-P,"GHG, Sl, Vl, LU",N/A,N/A,0.0,cmip5-mpi-esm@dkrz.de,"Model raw output postprocessing with modelling environment (IMDI) at DKRZ: URL: http://svn-mad.zmaw.de/svn/mad/Model/IMDI/trunk, REV: 3949 2011-11-11T23:52:22Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.",started from past1000 200 years spinup run.,1,1,89cddda0-2d37-48d9-8cd8-5e2cec4a1927,output,last millennium,mon,2011-11-11T23:52:27Z,CF-1.4,CMIP5,Table Amon (27 April 2011) a5a1c518f52ae340313ba0aada03f862,MPI-ESM-P model output prepared for CMIP5 last millennium,N/A,atmos,1,2.6.0,lm,"ECHAM6: n/a; JSBACH: Raddatz et al., 2007. Will the tropical land biosphere dominate the climate-carbon cycle feedback during the twenty first century? Climate Dynamics, 29, 565-574, doi 10.1007/s00382-007-0247-8;  MPIOM: Marsland et al., 2003. The Max-Planck-Institute global ocean/sea ice model with orthogonal curvilinear coordinates. Ocean Modelling, 5, 91-127;  HAMOCC: Technical Documentation, http://www.mpimet.mpg.de/fileadmin/models/MPIOM/HAMOCC5.1_TECHNICAL_REPORT.pdf;",,,,,,,,,,,,,,,,,,,
