Year,cumulative_co2_ems_GCP,cumulative_nonco2_ems
1875.042,3.776,0.000
1875.125,3.776,0.000
1875.209,3.776,0.000
1875.292,3.776,0.000
1875.375,3.776,0.000
1875.459,3.776,0.000
1875.542,3.776,0.800
1875.625,3.776,1.600
1875.709,3.776,2.400
1875.792,3.776,3.200
1875.875,3.776,4.100
1875.959,4.001,4.900
1876.042,4.320,5.700
1876.125,4.639,6.600
1876.209,4.959,7.400
1876.292,5.278,8.200
1876.375,5.597,9.100
1876.459,5.917,9.900
1876.542,6.236,9.300
1876.625,6.555,8.400
1876.709,6.875,7.600
1876.792,7.194,6.800
1876.875,7.513,6.000
1876.959,7.835,5.100
1877.042,8.159,4.300
1877.125,8.482,3.500
1877.209,8.806,2.600
1877.292,9.129,1.800
1877.375,9.452,1.000
1877.459,9.776,0.100
1877.542,10.099,0.800
1877.625,10.423,1.700
1877.709,10.746,2.600
1877.792,11.069,3.500
1877.875,11.393,4.400
1877.959,11.718,5.400
1878.042,12.045,6.300
1878.125,12.372,7.200
1878.209,12.699,8.100
1878.292,13.025,9.100
1878.375,13.352,10.000
1878.459,13.679,10.900
1878.542,14.005,11.100
1878.625,14.332,11.100
1878.709,14.659,11.100
1878.792,14.985,11.100
1878.875,15.312,11.100
1878.959,15.643,11.100
1879.042,15.976,11.100
1879.125,16.308,11.100
1879.209,16.641,11.100
1879.292,16.974,11.100
1879.375,17.307,11.100
1879.459,17.639,11.100
1879.542,17.972,11.100
1879.625,18.305,11.100
1879.709,18.637,11.100
1879.792,18.970,11.100
1879.875,19.303,11.100
1879.959,19.640,11.100
1880.042,19.980,11.100
1880.125,20.320,11.100
1880.209,20.660,11.100
1880.292,21.000,11.100
1880.375,21.340,11.100
1880.459,21.680,11.100
1880.542,22.020,11.100
1880.625,22.360,11.100
1880.709,22.700,11.100
1880.792,23.040,11.100
1880.875,23.379,11.100
1880.959,23.724,11.100
1881.042,24.070,11.100
1881.125,24.417,11.100
1881.209,24.763,11.100
1881.292,25.109,11.100
1881.375,25.456,11.100
1881.459,25.802,11.100
1881.542,26.148,11.100
1881.625,26.494,11.100
1881.709,26.841,11.100
1881.792,27.187,11.100
1881.875,27.533,11.100
1881.959,27.885,11.100
1882.042,28.238,11.100
1882.125,28.591,11.100
1882.209,28.944,11.100
1882.292,29.297,11.100
1882.375,29.650,11.100
1882.459,30.004,11.100
1882.542,30.357,10.600
1882.625,30.710,9.800
1882.709,31.063,8.900
1882.792,31.416,8.100
1882.875,31.769,7.300
1882.959,32.128,6.400
1883.042,32.490,5.600
1883.125,32.851,4.800
1883.209,33.213,3.900
1883.292,33.574,3.100
1883.375,33.936,2.300
1883.459,34.297,1.400
1883.542,34.659,1.600
1883.625,35.020,2.600
