Global Warming Index calculator from Haustein et al. 2017 (Scientific Reports),,,,,,Start month,1850.042,Start row,1208,Januar 1850,,,Linear Trend 1880-2012:,,,0.914,°C / 133 years,,,,
"Response function used for Global Temperature Potentials by IPCC (2013), Ch08, SM section 8.SM.11.2",,,,,,End month,2020.959,End row,3259,Dcember 2020,,,Obs Warming 1850-1900 vs 2006-2015:,,,0.928,°C,,,,
Decay time (years) of thermal response,4,209,Years,,,,Ant coeff,Nat coeff,,,,,GWI Warming 1850-1900 vs 2006-2015: ,,,0.916,°C (ending 12/2015),,,,
Contribution to total equilibrium warming,0.404,0.351,,,,Reg. coeffs,0.9797,0.4155,,,,,GWI Warming 1850-1900 vs 2006-2015: ,,,0.979,°C (ending 02/2020),,,,
Fractional decay in one month,0.0206,0.0004,,,,,,,,Anomalies from 1850-1900,,,,,,,,,,,
Date,Anthrop forcing,Natural forcing,Ant T1,Ant T2,Nat T1,Nat T2,Ant warm,Nat warm,Obs warm,Best-fit ant,Best-fit nat,Best-fit tot,Obs warm,Residual,,,,,,,
,W/m2,W/m2,K,K,K,K,K,K,K,,,,,,,,,,,,
1750.042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,-0.0534,0.0955,0.0421,,,,,,,,,
1750.125,-0.0017,-0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,-0.0534,0.0955,0.0421,,,,,,,,,
1750.209,-0.0033,-0.0017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,-0.0534,0.0955,0.0421,,,,,,,,,
1750.292,-0.0050,-0.0025,-0.0001,0.0000,0.0000,0.0000,-0.0001,0.0000,,-0.0535,0.0955,0.0420,,,,,,,,,
1750.375,-0.0066,-0.0033,-0.0001,0.0000,-0.0001,0.0000,-0.0001,-0.0001,,-0.0535,0.0955,0.0420,,,,,,,,,
1750.459,-0.0083,-0.0042,-0.0002,0.0000,-0.0001,0.0000,-0.0002,-0.0001,,-0.0536,0.0955,0.0419,,,,,,,,,
1750.542,-0.0100,-0.0050,-0.0002,0.0000,-0.0001,0.0000,-0.0002,-0.0001,,-0.0536,0.0955,0.0418,,,,,,,,,
1750.625,-0.0116,-0.0058,-0.0003,0.0000,-0.0002,0.0000,-0.0003,-0.0002,,-0.0537,0.0954,0.0417,,,,,,,,,
1750.709,-0.0133,-0.0066,-0.0004,0.0000,-0.0002,0.0000,-0.0004,-0.0002,,-0.0538,0.0954,0.0416,,,,,,,,,
1750.792,-0.0149,-0.0075,-0.0005,0.0000,-0.0003,0.0000,-0.0005,-0.0003,,-0.0539,0.0954,0.0415,,,,,,,,,
1750.875,-0.0166,-0.0083,-0.0007,0.0000,-0.0003,0.0000,-0.0007,-0.0003,,-0.0540,0.0954,0.0413,,,,,,,,,
1750.959,-0.0183,-0.0091,-0.0008,0.0000,-0.0004,0.0000,-0.0008,-0.0004,,-0.0542,0.0953,0.0412,,,,,,,,,
1751.042,-0.0199,-0.0100,-0.0009,0.0000,-0.0005,0.0000,-0.0009,-0.0005,,-0.0543,0.0953,0.0410,,,,,,,,,
1751.125,-0.0191,-0.0116,-0.0011,0.0000,-0.0005,0.0000,-0.0011,-0.0006,,-0.0545,0.0953,0.0408,,,,,,,,,
1751.209,-0.0182,-0.0133,-0.0012,0.0000,-0.0006,0.0000,-0.0012,-0.0006,,-0.0546,0.0952,0.0406,,,,,,,,,
1751.292,-0.0173,-0.0149,-0.0013,0.0000,-0.0007,0.0000,-0.0014,-0.0008,,-0.0547,0.0952,0.0405,,,,,,,,,
1751.375,-0.0164,-0.0166,-0.0014,0.0000,-0.0009,0.0000,-0.0015,-0.0009,,-0.0548,0.0951,0.0403,,,,,,,,,
1751.459,-0.0154,-0.0182,-0.0015,0.0000,-0.0010,0.0000,-0.0016,-0.0010,,-0.0549,0.0951,0.0402,,,,,,,,,
1751.542,-0.0145,-0.0199,-0.0016,0.0000,-0.0011,0.0000,-0.0017,-0.0011,,-0.0550,0.0950,0.0400,,,,,,,,,
1751.625,-0.0136,-0.0216,-0.0017,0.0000,-0.0013,0.0000,-0.0018,-0.0013,,-0.0551,0.0950,0.0399,,,,,,,,,
