date,F_total,F_anthro,F_nat,F_co2,F_wmghg,F_aero,F_solar,F_volc
1750.042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1750.125,-0.0025,-0.0017,-0.0008,-0.0017,0.0000,0.0000,-0.0008,0.0000
1750.209,-0.0050,-0.0033,-0.0017,-0.0033,0.0000,0.0000,-0.0017,0.0000
1750.292,-0.0075,-0.0050,-0.0025,-0.0050,0.0000,0.0000,-0.0025,0.0000
1750.375,-0.0100,-0.0066,-0.0033,-0.0066,0.0000,0.0000,-0.0033,0.0000
1750.459,-0.0125,-0.0083,-0.0042,-0.0083,0.0000,0.0000,-0.0042,0.0000
1750.542,-0.0149,-0.0100,-0.0050,-0.0100,0.0000,0.0000,-0.0050,0.0000
1750.625,-0.0174,-0.0116,-0.0058,-0.0116,0.0000,0.0000,-0.0058,0.0000
1750.709,-0.0199,-0.0133,-0.0066,-0.0133,0.0000,0.0000,-0.0066,0.0000
1750.792,-0.0224,-0.0149,-0.0075,-0.0149,0.0000,0.0000,-0.0075,0.0000
1750.875,-0.0249,-0.0166,-0.0083,-0.0166,0.0000,0.0000,-0.0083,0.0000
1750.959,-0.0274,-0.0183,-0.0091,-0.0183,0.0000,0.0000,-0.0091,0.0000
1751.042,-0.0299,-0.0199,-0.0100,-0.0199,0.0000,0.0000,-0.0100,0.0000
1751.125,-0.0307,-0.0191,-0.0116,-0.0200,0.0009,0.0000,-0.0116,0.0000
1751.209,-0.0314,-0.0182,-0.0133,-0.0200,0.0018,0.0000,-0.0133,0.0000
1751.292,-0.0322,-0.0173,-0.0149,-0.0200,0.0027,0.0000,-0.0149,0.0000
1751.375,-0.0329,-0.0164,-0.0166,-0.0200,0.0036,0.0000,-0.0166,0.0000
1751.459,-0.0337,-0.0154,-0.0182,-0.0200,0.0046,0.0000,-0.0182,0.0000
1751.542,-0.0344,-0.0145,-0.0199,-0.0200,0.0055,0.0000,-0.0199,0.0000
1751.625,-0.0351,-0.0136,-0.0216,-0.0200,0.0064,0.0000,-0.0216,0.0000
1751.709,-0.0359,-0.0127,-0.0232,-0.0200,0.0073,0.0000,-0.0232,0.0000
1751.792,-0.0366,-0.0117,-0.0249,-0.0200,0.0083,0.0000,-0.0249,0.0000
1751.875,-0.0374,-0.0108,-0.0265,-0.0200,0.0092,0.0000,-0.0265,0.0000
1751.959,-0.0381,-0.0099,-0.0282,-0.0200,0.0101,0.0000,-0.0282,0.0000
1752.042,-0.0388,-0.0090,-0.0299,-0.0200,0.0110,0.0000,-0.0299,0.0000
1752.125,-0.0397,-0.0097,-0.0300,-0.0200,0.0111,-0.0008,-0.0300,0.0000
1752.209,-0.0405,-0.0105,-0.0300,-0.0200,0.0111,-0.0016,-0.0300,0.0000
1752.292,-0.0413,-0.0113,-0.0300,-0.0200,0.0111,-0.0024,-0.0300,0.0000
1752.375,-0.0422,-0.0122,-0.0300,-0.0200,0.0111,-0.0033,-0.0300,0.0000
1752.459,-0.0430,-0.0130,-0.0300,-0.0200,0.0111,-0.0041,-0.0300,0.0000
1752.542,-0.0438,-0.0138,-0.0300,-0.0200,0.0111,-0.0049,-0.0300,0.0000
1752.625,-0.0446,-0.0146,-0.0300,-0.0200,0.0111,-0.0057,-0.0300,0.0000
1752.709,-0.0455,-0.0155,-0.0300,-0.0200,0.0111,-0.0066,-0.0300,0.0000
1752.792,-0.0463,-0.0163,-0.0300,-0.0200,0.0111,-0.0074,-0.0300,0.0000
1752.875,-0.0471,-0.0171,-0.0300,-0.0200,0.0111,-0.0082,-0.0300,0.0000
1752.959,-0.0480,-0.0180,-0.0300,-0.0200,0.0111,-0.0091,-0.0300,0.0000
1753.042,-0.0488,-0.0188,-0.0300,-0.0200,0.0111,-0.0099,-0.0300,0.0000
1753.125,-0.0504,-0.0196,-0.0307,-0.0207,0.0111,-0.0100,-0.0307,0.0000
1753.209,-0.0520,-0.0205,-0.0316,-0.0216,0.0111,-0.0100,-0.0316,0.0000
1753.292,-0.0537,-0.0213,-0.0324,-0.0224,0.0111,-0.0100,-0.0324,0.0000
1753.375,-0.0553,-0.0221,-0.0332,-0.0232,0.0111,-0.0100,-0.0332,0.0000
1753.459,-0.0570,-0.0230,-0.0341,-0.0241,0.0111,-0.0100,-0.0341,0.0000
1753.542,-0.0587,-0.0238,-0.0349,-0.0249,0.0111,-0.0100,-0.0349,0.0000
1753.625,-0.0603,-0.0246,-0.0357,-0.0257,0.0111,-0.0100,-0.0357,0.0000
1753.709,-0.0620,-0.0254,-0.0365,-0.0265,0.0111,-0.0100,-0.0365,0.0000
1753.792,-0.0636,-0.0263,-0.0374,-0.0274,0.0111,-0.0100,-0.0374,0.0000
1753.875,-0.0653,-0.0271,-0.0382,-0.0282,0.0111,-0.0100,-0.0382,0.0000
1753.959,-0.0670,-0.0279,-0.0390,-0.0290,0.0111,-0.0100,-0.0390,0.0000
1754.042,-0.0686,-0.0288,-0.0399,-0.0299,0.0111,-0.0100,-0.0399,0.0000
1754.125,-0.1155,-0.0289,-0.0866,-0.0300,0.0111,-0.0100,-0.0407,-0.0459
1754.209,-0.1711,-0.0289,-0.1422,-0.0300,0.0111,-0.0100,-0.0415,-0.1007
1754.292,-0.2268,-0.0289,-0.1979,-0.0300,0.0111,-0.0100,-0.0424,-0.1555
1754.375,-0.2824,-0.0289,-0.2535,-0.0300,0.0111,-0.0100,-0.0432,-0.2103
1754.459,-0.3381,-0.0289,-0.3092,-0.0300,0.0111,-0.0100,-0.0440,-0.2651
1754.542,-0.3937,-0.0289,-0.3648,-0.0300,0.0111,-0.0100,-0.0448,-0.3200
1754.625,-0.4493,-0.0289,-0.4204,-0.0300,0.0111,-0.0100,-0.0457,-0.3748
1754.709,-0.5050,-0.0289,-0.4761,-0.0300,0.0111,-0.0100,-0.0465,-0.4296
1754.792,-0.5606,-0.0289,-0.5317,-0.0300,0.0111,-0.0100,-0.0473,-0.4844
1754.875,-0.6163,-0.0289,-0.5874,-0.0300,0.0111,-0.0100,-0.0482,-0.5392
1754.959,-0.6719,-0.0289,-0.6430,-0.0300,0.0111,-0.0100,-0.0490,-0.5940
1755.042,-0.7276,-0.0289,-0.6987,-0.0300,0.0111,-0.0100,-0.0498,-0.6488
1755.125,-0.6953,-0.0289,-0.6664,-0.0300,0.0111,-0.0100,-0.0500,-0.6164
1755.209,-0.6404,-0.0289,-0.6115,-0.0300,0.0111,-0.0100,-0.0500,-0.5615
1755.292,-0.5856,-0.0289,-0.5567,-0.0300,0.0111,-0.0100,-0.0500,-0.5067
1755.375,-0.5308,-0.0289,-0.5019,-0.0300,0.0111,-0.0100,-0.0500,-0.4519
1755.459,-0.4760,-0.0289,-0.4471,-0.0300,0.0111,-0.0100,-0.0500,-0.3971
1755.542,-0.4212,-0.0289,-0.3923,-0.0300,0.0111,-0.0100,-0.0500,-0.3423
1755.625,-0.3664,-0.0289,-0.3375,-0.0300,0.0111,-0.0100,-0.0500,-0.2875
1755.709,-0.3116,-0.0289,-0.2827,-0.0300,0.0111,-0.0100,-0.0500,-0.2327
1755.792,-0.2567,-0.0289,-0.2278,-0.0300,0.0111,-0.0100,-0.0500,-0.1778
1755.875,-0.2019,-0.0289,-0.1730,-0.0300,0.0111,-0.0100,-0.0500,-0.1230
1755.959,-0.1471,-0.0289,-0.1182,-0.0300,0.0111,-0.0100,-0.0500,-0.0682
1756.042,-0.0923,-0.0289,-0.0634,-0.0300,0.0111,-0.0100,-0.0500,-0.0134
1756.125,-0.0789,-0.0289,-0.0500,-0.0300,0.0111,-0.0100,-0.0500,0.0000
1756.209,-0.0789,-0.0289,-0.0500,-0.0300,0.0111,-0.0100,-0.0500,0.0000
1756.292,-0.0789,-0.0289,-0.0500,-0.0300,0.0111,-0.0100,-0.0500,0.0000
1756.375,-0.0789,-0.0289,-0.0500,-0.0300,0.0111,-0.0100,-0.0500,0.0000
1756.459,-0.0789,-0.0289,-0.0500,-0.0300,0.0111,-0.0100,-0.0500,0.0000
1756.542,-0.0789,-0.0289,-0.0500,-0.0300,0.0111,-0.0100,-0.0500,0.0000
1756.625,-0.0789,-0.0289,-0.0500,-0.0300,0.0111,-0.0100,-0.0500,0.0000
1756.709,-0.0789,-0.0289,-0.0500,-0.0300,0.0111,-0.0100,-0.0500,0.0000
