t,T,P,edge,bal,ela,area
0.0,1.4001686342350004,5.0,10300.0,642368.2465330176,1087.0804796815094,18502659.96130597
1.0,1.4065721850076942,5.0,10250.0,752862.3359222282,1087.7059618358326,18472659.96130597
2.0,1.4145694488720428,5.0,10250.0,755846.8313614726,1088.208072586073,18472659.96130597
3.0,1.4226899972975255,5.0,10250.0,758911.1602087077,1088.835585534483,18472659.96130597
4.0,1.4301344650608003,5.0,10250.0,762050.2747401949,1089.388501023729,18472659.96130597
5.0,1.4366948314086168,5.0,10250.0,765257.8403385235,1089.7954412532526,18472659.96130597
6.0,1.4423852740019187,5.0,10250.0,768526.7480381886,1090.0483301907036,18472659.96130597
7.0,1.4472911268305273,5.0,10250.0,771850.085741818,1090.1625699447468,18472659.96130597
8.0,1.4515129184869986,5.0,10200.0,881918.1670226371,1090.1595115194639,18442659.96130597
9.0,1.4551465636171796,5.0,10200.0,885684.0597744277,1090.0598586808362,18442659.96130597
10.0,1.4582772164730295,5.0,10200.0,889506.250570355,1089.8816918327725,18442659.96130597
11.0,1.4609782643139448,5.0,10200.0,893376.3852556916,1089.6402262896297,18442659.96130597
12.0,1.4633121607825759,5.0,10150.0,1002901.2589280214,1089.3481182846747,18412659.96130597
13.0,1.4653318048487725,5.0,10150.0,1007186.2709201463,1089.0158768318179,18412659.96130597
14.0,1.4670819654737484,5.0,10150.0,1011500.5581149347,1088.652240549647,18412659.96130597
15.0,1.468600573562898,5.0,10150.0,1015815.7242781259,1088.2644892729488,18412659.96130597
16.0,1.4699198328922654,5.0,10150.0,1020040.8035039976,1087.8586950772203,18412659.96130597
17.0,1.4710671525619974,5.0,10150.0,1023891.2205191068,1087.4399247059432,18412659.96130597
18.0,1.4720659212585678,5.0,10200.0,922347.7927615726,1087.0124044063734,18442659.96130597
19.0,1.4729361476645488,5.0,10200.0,925049.1806460284,1086.5796555711354,18442659.96130597
20.0,1.4736949900766882,5.0,10250.0,821192.2097026063,1086.1446072911106,18472659.96130597
21.0,1.4743571952441679,5.0,10300.0,715367.652265789,1085.7096902685557,18502659.96130597
22.0,1.4749354631006932,5.0,10400.0,497823.22747479007,1085.2769154073574,18562659.96130597
23.0,1.475440751006171,5.0,10450.0,387203.4553710725,1084.8479396675452,18592659.96130597
